Time,Altitude(m),Lat(°),Lon(°),Timestamp,Wind Bearing(°),Wind Speed(m/s),Pressure(Pa),Temperature(°C), Humidity(%RH)Home Latitude(°),Home Longitude(°),Home Altitude(m),Distance From Home(m),Bearing From Home(°),
18-03-2014 14:28:22.912,40.96,-2.9736158,104.7639173,199713800,-109.561,0.141,100.833,31.4,55.8,-2.134,103.155,22,201.652,117.601
18-03-2014 14:28:27.920,40.96,-2.9736143,104.7639157,199718800,-46.809,0.049,100.834,31.4,56.2,-2.134,103.155,22,201.651,117.601
18-03-2014 14:28:32.930,40.87,-2.9736204,104.7639036,199723800,-116.785,0.301,100.834,31.4,56.2,-2.134,103.155,22,201.65,117.601
18-03-2014 14:28:37.940,40.87,-2.9736206,104.7639032,199728800,-90.783,0.23,100.835,31.4,56,-2.134,103.155,22,11469.246,-90.499
18-03-2014 14:28:42.949,40.79,-2.9736191,104.7639049,199733800,93.075,0.14,100.835,31.4,56,-2.974,104.764,40,0.001,-117.019
18-03-2014 14:28:47.960,40.71,-2.9736209,104.7638997,199738800,-109.117,0.122,100.836,31.5,56.5,-2.974,104.764,40,0.002,-114.554
18-03-2014 14:28:52.970,40.71,-2.97362,104.7638987,199743800,-47.974,0.03,100.837,31.5,56.9,-2.974,104.764,40,0.002,-110.655
18-03-2014 14:28:57.979,40.62,-2.9736261,104.7638851,199748800,-114.186,0.331,100.838,31.5,56.9,-2.974,104.764,40,0.004,-112.247
18-03-2014 14:29:02.988,40.54,-2.973634,104.7638686,199753800,-115.615,0.406,100.838,31.6,56.8,-2.974,104.764,40,0.006,-113.447
18-03-2014 14:29:07.997,40.45,-2.97363,104.7638719,199758800,39.485,0.115,100.839,31.6,56.8,-2.974,104.764,40,0.005,-110.553
18-03-2014 14:29:15.428,40.37,-2.9736245,104.7638811,199763800,59.094,0.238,100.841,31.6,56.4,-2.974,104.764,40,0.004,-107.508
18-03-2014 14:29:20.451,40.29,-2.9736186,104.7638978,199771200,70.518,0.266,100.841,31.6,56.4,-2.974,104.764,40,0.002,-105.627
18-03-2014 14:29:25.460,40.2,-2.973624,104.7638883,199776200,-119.648,0.243,100.843,31.6,55.8,-2.974,104.764,40,0.003,-110.81
